file,duration_s,file_bytes,decoded_pcm_bytes,integrated_lufs,true_peak_dbfs
brake.ogg,5.4,49733,476280,-17.61,-3.74
doors_close.ogg,3.254,41216,286975,-16.02,-1.55
doors_open.ogg,6.2,78563,546840,-14.97,-1.52
downshift_2_1.ogg,7.0,78919,617400,-16.9,-2.78
downshift_3_2.ogg,2.09,25643,184320,-16.0,-3.52
downshift_5_4.ogg,1.579,20322,139264,-16.0,-4.59
downshift_6_5.ogg,4.7,52006,414540,-16.32,-3.38
engine_start.ogg,2.6,25332,229320,-17.54,-4.55
gear1.ogg,1.567,21337,138210,-15.98,-3.92
gear2.ogg,1.359,17906,119863,-15.7,-4.13
gear3.ogg,1.181,16576,104164,-15.39,-4.25
gear4.ogg,1.161,16059,102400,-15.08,-2.27
gear5.ogg,3.206,39199,282760,-14.77,-2.48
gear6.ogg,5.7,64582,502740,-14.57,-3.4
idle.ogg,1.836,18513,161935,-14.27,-2.0
shift_1_2.ogg,0.872,11075,76928,-16.85,-4.99
shift_2_3.ogg,0.847,10455,74714,-16.11,-4.18
shift_3_4.ogg,0.897,11594,79124,-17.4,-5.04
shift_4_5.ogg,0.997,11983,87944,-14.47,-1.55
